flavour,weight in g,price,price_discounted,price_currency,date
0000,0100,8.99,4.99,EUR,2025-08-17
0000,0200,12.99,8.49,EUR,2025-08-17
0000,0500,37.99,15.99,EUR,2025-08-17
0000,1000,62.99,27.99,EUR,2025-08-17
ALIM,0500,37.99,15.99,EUR,2025-08-17
ALIM,1000,62.99,27.99,EUR,2025-08-17
BRAS,0500,37.99,13.99,EUR,2025-08-17
BRAS,1000,62.99,27.99,EUR,2025-08-17
MBER,0500,37.99,15.99,EUR,2025-08-17
MBER,1000,62.99,27.99,EUR,2025-08-17
PASS,0500,37.99,15.99,EUR,2025-08-17
PASS,1000,62.99,27.99,EUR,2025-08-17
PINE,0500,37.99,15.99,EUR,2025-08-17
PINE,1000,62.99,27.99,EUR,2025-08-17
TROP,0500,37.99,15.99,EUR,2025-08-17
TROP,1000,62.99,27.99,EUR,2025-08-17
VANI,0500,37.99,13.99,EUR,2025-08-17
VANI,1000,62.99,27.99,EUR,2025-08-17
0000,0100,8.99,4.99,EUR,2025-08-18
0000,0200,12.99,8.49,EUR,2025-08-18
0000,0500,37.99,15.99,EUR,2025-08-18
0000,1000,62.99,27.99,EUR,2025-08-18
ALIM,0500,37.99,15.99,EUR,2025-08-18
ALIM,1000,62.99,27.99,EUR,2025-08-18
BRAS,0500,37.99,13.99,EUR,2025-08-18
BRAS,1000,62.99,27.99,EUR,2025-08-18
MBER,0500,37.99,15.99,EUR,2025-08-18
MBER,1000,62.99,27.99,EUR,2025-08-18
PASS,0500,37.99,15.99,EUR,2025-08-18
PASS,1000,62.99,27.99,EUR,2025-08-18
PINE,0500,37.99,15.99,EUR,2025-08-18
PINE,1000,62.99,27.99,EUR,2025-08-18
TROP,0500,37.99,15.99,EUR,2025-08-18
TROP,1000,62.99,27.99,EUR,2025-08-18
VANI,0500,37.99,13.99,EUR,2025-08-18
VANI,1000,62.99,27.99,EUR,2025-08-18
