flavour,weight_in_g,price,price_discounted,price_currency,date
0000,0100,8.99,4.99,EUR,2025-08-21
0000,0200,12.99,8.49,EUR,2025-08-21
0000,0500,37.99,15.99,EUR,2025-08-21
0000,1000,62.99,27.99,EUR,2025-08-21
ALIM,0500,37.99,15.99,EUR,2025-08-21
ALIM,1000,62.99,27.99,EUR,2025-08-21
BRAS,0500,37.99,13.99,EUR,2025-08-21
BRAS,1000,62.99,27.99,EUR,2025-08-21
MBER,0500,37.99,15.99,EUR,2025-08-21
MBER,1000,62.99,27.99,EUR,2025-08-21
PASS,0500,37.99,15.99,EUR,2025-08-21
PASS,1000,62.99,27.99,EUR,2025-08-21
PINE,0500,37.99,15.99,EUR,2025-08-21
PINE,1000,62.99,27.99,EUR,2025-08-21
TROP,0500,37.99,15.99,EUR,2025-08-21
TROP,1000,62.99,27.99,EUR,2025-08-21
VANI,0500,37.99,13.99,EUR,2025-08-21
VANI,1000,62.99,27.99,EUR,2025-08-21
0000,0100,8.99,4.99,EUR,2025-08-21
0000,0200,12.99,8.49,EUR,2025-08-21
0000,0500,37.99,15.99,EUR,2025-08-21
0000,1000,62.99,27.99,EUR,2025-08-21
ALIM,0500,37.99,15.99,EUR,2025-08-21
ALIM,1000,62.99,27.99,EUR,2025-08-21
BRAS,0500,37.99,13.99,EUR,2025-08-21
BRAS,1000,62.99,27.99,EUR,2025-08-21
MBER,0500,37.99,15.99,EUR,2025-08-21
MBER,1000,62.99,27.99,EUR,2025-08-21
PASS,0500,37.99,15.99,EUR,2025-08-21
PASS,1000,62.99,27.99,EUR,2025-08-21
PINE,0500,37.99,15.99,EUR,2025-08-21
PINE,1000,62.99,27.99,EUR,2025-08-21
TROP,0500,37.99,15.99,EUR,2025-08-21
TROP,1000,62.99,27.99,EUR,2025-08-21
VANI,0500,37.99,13.99,EUR,2025-08-21
VANI,1000,62.99,27.99,EUR,2025-08-21
